,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Broad.phase.of.flight
84370,20190630X25602,Accident,WPR19LA179,2019-06-27,"Caldwell, ID",United States,Substantial,Airplane,Stinson,108,1.0,Reciprocating,Personal,
84371,20190701X03630,Accident,GAA19CA377,2019-06-27,"Pleasanton, KS",United States,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Personal,
84372,20190703X45529,Accident,ERA19LA219,2019-06-27,"Williamson, GA",United States,Substantial,Airplane,Vans,RV 4,1.0,Reciprocating,Personal,
84373,20190703X62644,Accident,WPR19FAMS1,2019-06-27,"Pescadero, CA",United States,Destroyed,Airplane,Cessna,172,1.0,Reciprocating,Unknown,
84374,20190703X91828,Accident,GAA19CA385,2019-06-27,"Skwentna, AK",United States,Substantial,Airplane,Piper,PA 12,1.0,Reciprocating,Personal,
84376,20190709X24045,Accident,GAA19CA395,2019-06-27,"Gillette, WY",United States,Substantial,Airplane,Maule,M5,1.0,Reciprocating,Personal,
84377,20190628X03218,Accident,CEN19LA186,2019-06-28,"Omaha, NE",United States,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,
84382,20190628X75828,Accident,GAA19CA436,2019-06-28,"Lincoln, CA",United States,Substantial,Airplane,Grosch,STARDUSTER TOO,1.0,Reciprocating,Personal,
84383,20190629X02810,Accident,CEN19FA189,2019-06-28,"Hiawatha, KS",United States,Destroyed,Airplane,Beech,58,2.0,Reciprocating,Personal,
84386,20190630X15847,Accident,GAA19CA378,2019-06-28,"Wasilla, AK",United States,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,
84387,20190629X71525,Accident,ANC19FA029,2019-06-29,"Moose Pass, AK",United States,Substantial,Airplane,Maule,M6,,,Personal,
84390,20190630X21332,Accident,GAA19CA382,2019-06-29,"Brunswick, GA",United States,Substantial,Airplane,Piper,PA24,1.0,Reciprocating,Personal,
84392,20190630X22854,Accident,CEN19LA199,2019-06-29,"Paducah, KY",United States,Substantial,Airplane,Zenair,CH750 STOL,1.0,Reciprocating,Personal,
84394,20190701X50002,Accident,CEN19LA202,2019-06-29,"Zelienople, PA",United States,Substantial,Airplane,Aeronca,L16A,1.0,Reciprocating,Personal,
84397,20190702X45044,Accident,CEN19LA198,2019-06-29,"Joplin, MO",United States,Substantial,Airplane,Vans,RV8,1.0,Reciprocating,Personal,
84402,20190709X83128,Accident,ERA19TA216,2019-06-29,"Pickens, SC",United States,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,
84404,20190801X84143,Accident,GAA19CA477,2019-06-29,"Greer, SC",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84405,20190630X05538,Accident,CEN19FA191,2019-06-30,"Elyria, OH",United States,Substantial,Airplane,Piper,J3C,1.0,Reciprocating,Personal,
84407,20190630X22250,Accident,GAA19CA439,2019-06-30,"Manteo, NC",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Other Work Use,
84408,20190630X31613,Accident,WPR19LA180,2019-06-30,"Chandler, AZ",United States,Substantial,Airplane,Piper,PA28R,,Reciprocating,Personal,
84409,20190630X33829,Accident,CEN19MA190,2019-06-30,"Addison, TX",United States,Destroyed,Airplane,Textron Aviation,B-300,2.0,Turbo Prop,Personal,
84411,20190630X90452,Accident,WPR19LA187,2019-06-30,"Ludlow, CA",United States,Substantial,Airplane,Beech,23,,,Personal,
84412,20190630X91504,Accident,GAA19CA376,2019-06-30,"Yakima, WA",United States,Substantial,Airplane,Piper,PA 12,1.0,Reciprocating,Personal,
84413,20190701X42015,Accident,WPR19FA182,2019-06-30,"Moab, UT",United States,Substantial,Airplane,Cub Crafters,CCK-1865,,,Personal,
84414,20190703X85557,Accident,WPR19LA184,2019-06-30,"Lincoln, MT",United States,Substantial,Airplane,Cessna,TR182,1.0,Reciprocating,Personal,
84416,20190630X15152,Accident,WPR19TA186,2019-07-01,"San Bernardino, CA",United States,Destroyed,Airplane,Glasair,SH II,1.0,,Personal,
84417,20190701X01033,Accident,GAA19CA381,2019-07-01,"Coeur d'Alene, ID",United States,Substantial,Airplane,Cessna,175,1.0,Reciprocating,Personal,
84422,20190702X80900,Accident,CEN19FA195,2019-07-01,"Orleans, IN",United States,Substantial,Airplane,Rans,S12,1.0,Reciprocating,Personal,
84423,20190703X52225,Accident,GAA19CA384,2019-07-02,"Cheyenne, WY",United States,Substantial,Airplane,American Aviation,AA5,1.0,Reciprocating,Personal,
84424,20190708X14610,Accident,GAA19CA393,2019-07-02,"Stanley, ID",United States,Substantial,Airplane,Cessna,A185,1.0,Reciprocating,Personal,
84426,20190709X05610,Accident,ERA19TA222,2019-07-02,"Sevierville, TN",United States,Substantial,Airplane,Luscombe,8,1.0,Reciprocating,Personal,
84428,20190703X95103,Accident,GAA19CA407,2019-07-03,"Montville, ME",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84433,20190704X25720,Accident,GAA19CA431,2019-07-04,"Tavernier, FL",United States,Substantial,Airplane,Diamond,DA40,1.0,Reciprocating,Personal,
84434,20190704X63124,Accident,CEN19LA206,2019-07-04,"Reeves, LA",United States,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,
84435,20190704X63244,Accident,CEN19TA205,2019-07-04,"Vaiden, MS",United States,Substantial,Airplane,Beech,23,1.0,Reciprocating,Personal,
