,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Broad.phase.of.flight
57509,20040923X01483,Accident,DEN04LA145,2004-09-17,"ASPEN, CO",United States,Substantial,,Bell,214B-1,1.0,Turbo Shaft,Other Work Use,Maneuvering
57510,20041015X01639,Accident,ATL04CA188,2004-09-17,"KILL DEVIL HLLS, NC",United States,Substantial,Airplane,Cessna,172L,1.0,Reciprocating,Personal,Approach
57511,20041015X01634,Accident,ANC04LA117,2004-09-17,"TELIDA, AK",United States,Substantial,,Piper,PA-31-350,2.0,Reciprocating,,Landing
57512,20040929X01531,Accident,LAX04LA320,2004-09-17,"Bridgeport, CA",United States,Destroyed,,Hebb,Avid Magnum,1.0,Reciprocating,Personal,Takeoff
57513,20041027X01704,Accident,MIA04CA130,2004-09-18,"ASHLAND, MS",United States,Substantial,Airplane,Lemuel May,Leza-Lockwood Aircam,2.0,Reciprocating,Personal,Cruise
57515,20040929X01527,Accident,CHI04LA283,2004-09-18,"HOUSTONIA, MO",United States,Substantial,,Cessna,172M,1.0,Reciprocating,Personal,Cruise
57516,20040923X01486,Accident,CHI04LA264,2004-09-18,"NEW CENTURY, KS",United States,Substantial,,Cessna,401,2.0,Reciprocating,,Approach
57517,20041105X01774,Accident,CHI04CA296,2004-09-18,"PORT HURON, MI",United States,Substantial,Airplane,Piper,PA-16,1.0,Reciprocating,Personal,Landing
57518,20041022X01683,Accident,CHI04CA266,2004-09-18,"HURDLAND, MO",United States,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,Takeoff
57520,20040929X01530,Accident,LAX04LA322,2004-09-18,"Mesa, AZ",United States,Destroyed,,Wolf,Glassair IIS,1.0,Reciprocating,Personal,Takeoff
57522,20040923X01484,Accident,SEA04FA191,2004-09-19,"MOUNTAIN HOME, ID",United States,Substantial,,Cessna,172D,1.0,Reciprocating,Personal,Maneuvering
57523,20041006X01582,Accident,NYC04LA214,2004-09-19,"BEALETON, VA",United States,Substantial,,Ryan,ST3KR,1.0,Reciprocating,Personal,Climb
57524,20041007X01591,Accident,LAX04LA324,2004-09-19,"PETERS, CA",United States,Substantial,,Cirrus,SR-22,1.0,Reciprocating,Personal,Climb
57525,20041014X01624,Accident,FTW04CA241,2004-09-19,"LOUISE, TX",United States,Substantial,Airplane,Piper,J3C-65,1.0,Reciprocating,Personal,Approach
57526,20041209X01953,Accident,DCA04MA082,2004-09-19,"MEMPHIS, TN",United States,Substantial,,Boeing,MD-11,3.0,Turbo Fan,,Landing
57527,20040922X01476,Accident,CHI04LA262,2004-09-19,"KNOX, IN",United States,Substantial,,Navion,Navion G,1.0,Reciprocating,Personal,Approach
57531,20041013X01617,Accident,SEA04LA195,2004-09-20,"SEATTLE, WA",United States,Substantial,,Piper,PA-28-181,1.0,Reciprocating,Personal,Taxi
57532,20041005X01570,Accident,LAX04CA326,2004-09-20,"DENAIR, CA",United States,Substantial,Airplane,Iar Sa Brasov,823,1.0,Reciprocating,Personal,Descent
57533,20040930X01543,Accident,SEA04GA192,2004-09-20,"Essex, MT",United States,Destroyed,,Cessna,U206G,1.0,Reciprocating,Public Aircraft,Cruise
57534,20041015X01635,Accident,ANC04FAMS2,2004-09-20,"Sitka, AK",United States,Destroyed,,De Havilland,DHC-2,1.0,Reciprocating,,Unknown
57535,20041020X01666,Accident,FTW04CA242,2004-09-21,"HASKELL, TX",United States,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,Cruise
57536,20040924X01487,Accident,DEN04LA146,2004-09-21,"LORDSBERG, NM",United States,Substantial,,Smith,Aerostar 601P,2.0,Reciprocating,Business,Takeoff
57539,20041006X01585,Accident,LAX04LA328,2004-09-22,"FLAGSTAFF, AZ",United States,Substantial,,Cessna,210B,1.0,Reciprocating,Personal,Takeoff
57540,20041005X01562,Accident,IAD04LA048,2004-09-22,"BAYPORT, NY",United States,Substantial,,Boeing,A75N (PT17),1.0,Reciprocating,Personal,Takeoff
57542,20041012X01610,Accident,CHI04CA281,2004-09-22,"JACKSON, MI",United States,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,Landing
57543,20041008X01605,Accident,ATL04CA191,2004-09-22,"LANCASTER, SC",United States,Substantial,Airplane,Pinkham,Challenger II,1.0,Reciprocating,Personal,Cruise
57544,20041014X01628,Accident,SEA04CA193,2004-09-23,"DEER HARBOR, WA",United States,Substantial,Airplane,Piper,PA-28,1.0,Reciprocating,Personal,Landing
57545,20041019X01655,Accident,FTW04CA240,2004-09-23,"GRAND PRARIE, TX",United States,Substantial,Airplane,Carter-Jones,Volmer Sportsman,1.0,Reciprocating,Personal,Landing
57546,20040928X01514,Accident,CHI04LA278,2004-09-23,"GWINNER, ND",United States,Substantial,,Cessna,208B,1.0,Turbo Prop,,Approach
57547,20040929X01533,Accident,ANC04LA113,2004-09-23,"KODIAK, AK",United States,Substantial,,Britten-Norman,BN-2A,2.0,Reciprocating,,Takeoff
57548,20040929X01515,Accident,MIA04FA128,2004-09-23,"Milton, FL",United States,Destroyed,,Cessna,R182,1.0,Reciprocating,Personal,Takeoff
57549,20040930X01550,Accident,FTW04FA243,2004-09-23,"Bee Caves, TX",United States,Destroyed,,Cessna,421C,2.0,Reciprocating,Personal,Descent
57551,20041008X01598,Accident,NYC04LA219,2004-09-24,"RICHMOND, VA",United States,Substantial,,De Havilland,DHC-22A,1.0,Reciprocating,Personal,Takeoff
57552,20041005X01563,Accident,NYC04CA216,2004-09-24,"NEW MILFORD, CT",United States,Substantial,Airplane,Consolidated Aeronautics Inc.,Lake LA-4-200,1.0,Reciprocating,Personal,Landing
57553,20041105X01770,Accident,ANC04CA114,2004-09-24,"WILLOW, AK",United States,Substantial,Airplane,De Havilland,DHC-2,1.0,Reciprocating,,Landing
57559,20041008X01603,Accident,CHI04LA279,2004-09-25,"HANOVER, IN",United States,Substantial,,Ernst,Pitts S2E,1.0,Reciprocating,Personal,Maneuvering
57562,20041014X01626,Accident,ATL04CA193,2004-09-25,"ANDERSON, SC",United States,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Business,Cruise
57563,20041006X01579,Accident,ANC04LA120,2004-09-25,"NENANA, AK",United States,Substantial,,Piper,PA-12,1.0,Reciprocating,Personal,Takeoff
57564,20040930X01539,Accident,NYC04LA217,2004-09-25,"Lewisburg, WV",United States,Minor,,Firefly,Galaxy 9,0.0,,Unknown,Other
57565,20040929X01529,Accident,LAX04FA330,2004-09-25,"Fullerton, CA",United States,Destroyed,,Bushmaster Aircraft,2000,3.0,Reciprocating,Personal,Takeoff
57567,20040928X01510,Accident,DEN04LA148,2004-09-26,"BROOMFIELD, CO",United States,Substantial,,"Smith, Ted Aerostar",601P,2.0,Reciprocating,Personal,Landing
57568,20041028X01717,Accident,CHI04CA288,2004-09-26,"ST. JAMES, MO",United States,Substantial,Airplane,Aeronca,7BCM,1.0,Reciprocating,Personal,Go-around
57570,20040930X01547,Accident,SEA04CA194,2004-09-27,"FRIDAY HARBOR, WA",United States,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Business,Landing
57571,20041130X01890,Accident,DFW05CA021,2004-09-27,"ROANOKE, TX",United States,Substantial,Airplane,Bellanca,BL-17-30A,1.0,Reciprocating,Personal,Takeoff
57574,20041116X01825,Accident,ANC04CA116,2004-09-27,"TALKEETNA, AK",United States,Substantial,Airplane,Piper,PA-18-180,1.0,Reciprocating,Personal,Landing
57575,20041007X01595,Accident,CHI04FA284,2004-09-27,"Morris, MN",United States,Destroyed,,Cessna,182Q,1.0,Reciprocating,Personal,Takeoff
57578,20041012X01612,Accident,FTW04CA245,2004-09-28,"HOUSTON, TX",United States,Substantial,Airplane,Cessna,172H,1.0,Reciprocating,Personal,Taxi
57582,20041008X01597,Accident,NYC04FA220,2004-09-29,"AVONDALE, PA",United States,Substantial,,Piper,PA-28-180,1.0,Reciprocating,Personal,Takeoff
57583,20060901X01278,Accident,CHI04LA298,2004-09-29,"DECATUR, IL",United States,Substantial,,Cessna,208B,1.0,Turbo Prop,,Takeoff
57585,20041028X01718,Accident,CHI04CA289,2004-09-29,"CUSTER, SD",United States,Substantial,Airplane,Arganbright,Vans RV-4,1.0,Reciprocating,Personal,Landing
57586,20041028X01716,Accident,CHI04CA286,2004-09-29,"OXFORD, IA",United States,Substantial,Airplane,Cessna,C-150J,1.0,Reciprocating,Personal,Landing
57587,20041005X01567,Accident,ATL04CA196,2004-09-29,"CHARLOTTE, NC",United States,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,Landing
57588,20041018X01642,Accident,MIA04LA133,2004-09-29,"Vega Baja, PR",United States,Destroyed,,Britten-Norman,BN-2A-27,2.0,Reciprocating,,Cruise
57591,20041007X01593,Accident,CHI04LA292,2004-09-30,"DURAND, MI",United States,Substantial,,Cessna,150M,1.0,Reciprocating,Personal,Takeoff
57592,20041022X01681,Accident,ATL04CA197,2004-09-30,"SEVIERVILLE, TN",United States,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,Takeoff
57593,20041006X01587,Accident,CHI04FA290,2004-09-30,"Burlington, WI",United States,Destroyed,,Beech,B95A,2.0,Reciprocating,Personal,Takeoff
57594,20041026X01696,Accident,SEA05CA003,2004-10-01,"MEDFORD, OR",United States,Substantial,Airplane,Piper,PA-22/20,1.0,Reciprocating,Personal,Landing
57595,20041025X01688,Accident,MIA05LA001,2004-10-01,"NEW SMYRNA BEAC, FL",United States,Substantial,,Rotorway,162F,1.0,Reciprocating,Personal,Cruise
57596,20041022X01679,Accident,LAX05CA001,2004-10-01,"NOGALES, AZ",United States,Substantial,Airplane,Cessna,TU206A,1.0,Reciprocating,Personal,Taxi
57597,20041104X01754,Accident,DEN05CA001,2004-10-01,"SANTA FE, NM",United States,Substantial,Airplane,Cessna,185F,1.0,Reciprocating,Personal,Landing
57598,20041022X01686,Accident,SEA05LA008,2004-10-02,"COEUR D'ALENE, ID",United States,Substantial,,Higgins,Acro-Sport II,1.0,Reciprocating,Personal,Cruise
57599,20041115X01814,Accident,SEA05LA002,2004-10-02,"AUGUSTA, MT",United States,Substantial,,Cessna,150G,1.0,Reciprocating,Personal,Takeoff
57601,20041006X01580,Accident,LAX05LA002,2004-10-02,"SEDONA, AZ",United States,Substantial,,Classic Aircraft Corp,WACO YMF,1.0,Reciprocating,Other Work Use,Cruise
57602,20041008X01602,Accident,IAD05LA001,2004-10-02,"ROBBINSVILLE, NJ",United States,Substantial,,Piper,PA-34-200T,2.0,Reciprocating,Personal,Takeoff
57603,20041005X01564,Accident,ATL05LA001,2004-10-02,"ASHLAND, AL",United States,Substantial,,Stinson,108,1.0,Reciprocating,Personal,Cruise
57605,20041007X01590,Accident,FTW05LA003,2004-10-03,"MIDLAND, TX",United States,Substantial,,Lockheed,18-56,2.0,Reciprocating,Personal,Takeoff
57607,20041105X01776,Accident,CHI05CA002,2004-10-03,"MARION, IA",United States,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,Go-around
57610,20041008X01600,Accident,DEN05FA003,2004-10-03,"Luna, NM",United States,Destroyed,,Cessna,A185E,1.0,Reciprocating,Personal,Maneuvering
57611,20041105X01775,Accident,CHI05CA001,2004-10-03,"Beatrice, NE",United States,Destroyed,Airplane,Piper,PA-23-180,2.0,Reciprocating,Personal,Takeoff
57615,20041015X01638,Accident,IAD05LA002,2004-10-07,"STOW, MA",United States,Substantial,,Bradley,Renegade,1.0,Reciprocating,Personal,Takeoff
57616,20041012X01611,Accident,DEN05LA005,2004-10-07,"CASPER, WY",United States,Substantial,,Cessna,172N,1.0,Reciprocating,Personal,Landing
57617,20041209X01962,Accident,ANC05LA001,2004-10-07,"ANCHORAGE, AK",United States,Substantial,,Piper,PA-18-150,1.0,Reciprocating,Personal,Landing
57618,20041015X01636,Accident,SEA05FA004,2004-10-08,"BEND, OR",United States,Substantial,,Maule,MT-7-420,1.0,Turbo Prop,Personal,Takeoff
57620,20041104X01753,Accident,DEN05CA007,2004-10-08,"BROOMFIELD, CO",United States,Substantial,Airplane,Mooney,M20E,1.0,Reciprocating,Personal,Landing
57621,20041021X01674,Accident,CHI05CA003,2004-10-08,"AUGUSTA, KS",United States,Substantial,Airplane,Sinclair,Zenith 701,1.0,Reciprocating,Personal,Landing
57624,20041109X01791,Accident,NYC05CA004,2004-10-09,"JAFFERY, NH",United States,Substantial,Airplane,Boeing Stearman,B75-N1,1.0,Reciprocating,Other Work Use,Takeoff
57625,20041105X01773,Accident,NYC05CA003,2004-10-09,"ELIOT, ME",United States,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,Cruise
57626,20041029X01723,Accident,DFW05CA001,2004-10-09,"HEARNE, TX",United States,Substantial,Airplane,Bellanca,7ECA,1.0,Reciprocating,Personal,Taxi
57627,20041014X01627,Accident,DEN05LA008,2004-10-09,"SALIDA, CO",United States,Substantial,,Cessna,210M,1.0,Reciprocating,Personal,Cruise
57629,20041020X01665,Accident,ANC05LA003,2004-10-09,"ANCHORAGE, AK",United States,Substantial,,Scan,30,2.0,Reciprocating,Personal,Cruise
57633,20041019X01650,Accident,NYC05LA002B,2004-10-10,"HARRISON, OH",United States,Substantial,,Cessna,172,1.0,Reciprocating,Personal,Approach
57634,20041019X01650,Accident,NYC05LA002A,2004-10-10,"HARRISON, OH",United States,Substantial,,Cessna,152,1.0,Reciprocating,Personal,Approach
57635,20041015X01632,Accident,NYC05FA001,2004-10-10,"GERMANTOWN, NY",United States,Substantial,,Cessna,172N,1.0,Reciprocating,Personal,Cruise
57637,20041208X01946,Accident,ANC05CA004,2004-10-10,"KING SALMON, AK",United States,Substantial,Airplane,Cessna,185F,1.0,Reciprocating,Personal,Takeoff
57640,20041025X01689,Accident,NYC05FA005,2004-10-11,"MADISON, CT",United States,Substantial,,Piper,PA-28-161,1.0,Reciprocating,Personal,Cruise
57641,20041207X01931,Accident,ANC05CA005,2004-10-11,"CHEFORNAK, AK",United States,Substantial,Airplane,Cessna,207,1.0,Reciprocating,,Approach
57643,20041019X01646,Accident,MIA05LA003,2004-10-12,"CROSS CITY, FL",United States,Substantial,,De Havilland,DH-82C,1.0,Reciprocating,Personal,Cruise
57644,20041108X01787,Accident,LAX05CA005,2004-10-12,"WINSLOW, AZ",United States,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Personal,Landing
57646,20041118X01836,Accident,ANC05LA010,2004-10-12,"KETCHIKAN, AK",United States,Substantial,,Eurocopter France,AS-350B2,1.0,Turbo Shaft,,Landing
57647,20041019X01652,Accident,SEA05LA005,2004-10-13,"OAK HARBOR, WA",United States,Substantial,,Piper,PA-18-150,1.0,Reciprocating,Unknown,Takeoff
57648,20041029X01722,Accident,DFW05CA005,2004-10-13,"ODESSA, TX",United States,Substantial,Airplane,Murray,DA5B,1.0,Reciprocating,Personal,Landing
57652,20041015X01641,Accident,DEN05FA011,2004-10-13,"Idaho Springs, CO",United States,Destroyed,,Cessna,182R,1.0,Reciprocating,Personal,Cruise
57653,20041108X01788,Accident,LAX05CA006,2004-10-14,"PLACERVILLE, CA",United States,Substantial,Airplane,Cessna,182RG,1.0,Reciprocating,Personal,Landing
57655,20041019X01651,Accident,SEA05LA006,2004-10-14,"Hermiston, OR",United States,Destroyed,,Caldwell,Glasair II,1.0,Reciprocating,Personal,Maneuvering
57656,20041020X01662,Accident,SEA05FA007,2004-10-14,"Grand Ronde, OR",United States,Destroyed,,Piper,PA-28-140,1.0,Reciprocating,Personal,Maneuvering
57660,20041021X01673,Accident,CHI05LA004,2004-10-14,"Joliet, IL",United States,Destroyed,,Malone,VANS RV-6A,1.0,Reciprocating,Business,Takeoff
57661,20041105X01771,Accident,NYC05CA007,2004-10-15,"NEW MARKET, VA",United States,Substantial,Airplane,Beech,A23,1.0,Reciprocating,Personal,Takeoff
57662,20041104X01756,Accident,LAX05TA008,2004-10-15,"JACUMBA, CA",United States,Substantial,,Hughes,OH-6A,1.0,Turbo Shaft,Public Aircraft,Maneuvering
57663,20041019X01656,Accident,LAX05LA009,2004-10-15,"AGUILA, AZ",United States,Substantial,,Brackett And Peltz,Kit Fox III,1.0,Reciprocating,Personal,Maneuvering
57665,20041118X01834,Accident,IAD05LA005,2004-10-15,"HYANNIS, MA",United States,Substantial,,Beech,C24R,1.0,Reciprocating,Personal,Approach
57666,20041028X01720,Accident,DFW05CA008,2004-10-15,"RESERVE, LA",United States,Substantial,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,Landing
57667,20041215X01990,Accident,ANC05CA007,2004-10-15,"WASILLA, AK",United States,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,Approach
57669,20041021X01670,Accident,ANC05FA008,2004-10-15,"Anchorage, AK",United States,Destroyed,,Piper,PA-18,1.0,Reciprocating,Personal,Maneuvering
57670,20041019X01649,Accident,DFW05LA007,2004-10-16,"SEVEN POINTS, TX",United States,Substantial,,Cessna,T210N,1.0,Reciprocating,Personal,Cruise
57671,20041129X01877,Accident,DFW05CA006,2004-10-16,"MYRICK, OK",United States,Substantial,Airplane,Gunnoe,Velocity,1.0,Reciprocating,Personal,Takeoff
57672,20041022X01685,Accident,CHI05CA007,2004-10-16,"PORT AUSTIN, MI",United States,Substantial,Airplane,Cirrus Design Corp.,SR22,1.0,Reciprocating,Business,Landing
57674,20041109X01795,Accident,SEA05LA010,2004-10-17,"BILLINGS, MT",United States,Substantial,,Beech,99A,2.0,Turbo Prop,,Approach
57675,20041022X01687,Accident,SEA05LA009,2004-10-17,"WHITE BIRD, ID",United States,Substantial,,Cessna,A185F,,Reciprocating,Personal,Takeoff
57677,20041028X01719,Accident,CHI05CA006,2004-10-17,"ALTOONA, WI",United States,Substantial,Airplane,Piper,PA-28-160,1.0,Reciprocating,Personal,Descent
57678,20050411X00435,Accident,ATL05LA005,2004-10-17,"AUGUSTA, GA",United States,Substantial,,Moody,Easy Riser,1.0,Reciprocating,Personal,Approach
57679,20041115X01815,Accident,ATL05CA006,2004-10-17,"AUBURN, AL",United States,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Personal,Landing
57680,20041115X01817,Accident,ATL05CA004,2004-10-17,"JASPER, GA",United States,Substantial,Airplane,Luscombe,LL-8,1.0,Reciprocating,Personal,Landing
57681,20041021X01669,Accident,ANC05LA009,2004-10-17,"CHICKALOON, AK",United States,Substantial,,Piper,PA-18,1.0,Reciprocating,Personal,Landing
57683,20041026X01697,Accident,LAX05FA011,2004-10-17,"Kula, HI",United States,Destroyed,,Cessna,310K,2.0,Reciprocating,Personal,Cruise
57687,20041115X01813,Accident,MIA05CA014,2004-10-19,"VALKARIA, FL",United States,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,Takeoff
57690,20041123X01855,Accident,CHI05CA010,2004-10-19,"CHESTERFIELD, MO",United States,Substantial,Airplane,Beech,B-55,2.0,Reciprocating,Business,Landing
57691,20041101X01728,Accident,ATL05FA010,2004-10-19,"ATLANTA, GA",United States,Substantial,,Beech,B-55,2.0,Reciprocating,Personal,Climb
57692,20050801X01133,Accident,SEA05LA133,2004-10-19,"Hyak, WA",United States,Destroyed,,Aero Vodochody Aero. Works,L-39C,1.0,Turbo Fan,Personal,Climb
57694,20041020X01659,Accident,DCA05MA004,2004-10-19,"Kirksville, MO",United States,Destroyed,Airplane,British Aerospace,Jetstream 32,2.0,Turbo Prop,,Approach
57695,20041028X01714,Accident,CHI05MA011,2004-10-20,,United States,Substantial,,Boeing,747-132,4.0,Turbo Fan,,Climb
57698,20041101X01732,Accident,CHI05LA012,2004-10-20,"Ashley, ND",United States,Destroyed,,Cessna,150M,1.0,Reciprocating,Personal,Cruise
57699,20041103X01752,Accident,LAX05LA012,2004-10-21,"CLOVERDALE, CA",United States,Substantial,,Beech,C24R,1.0,Reciprocating,Personal,Cruise
57700,20041027X01707,Accident,CHI05LA013,2004-10-21,"INDIAN RIVER, MI",United States,Substantial,,Stinson,108-2,1.0,Reciprocating,Personal,Takeoff
57701,20041101X01729,Accident,ATL05LA007,2004-10-21,"GUNTERSVILLE, AL",United States,Substantial,,Piper,PA-32RT-300T,1.0,Reciprocating,Personal,Cruise
57703,20041027X01706,Accident,DEN05FA012,2004-10-21,"Chester, AR",United States,Destroyed,,Beech,F35,1.0,Reciprocating,Personal,Cruise
57706,20041026X01698,Accident,SEA05LA011,2004-10-23,"MISSOULA, MT",United States,Substantial,,Cessna,T210H,1.0,Reciprocating,Personal,Approach
57709,20041027X01699,Accident,DEN05LA013,2004-10-23,"GLENWOOD SPRING, CO",United States,Substantial,,Cessna,170A,1.0,Reciprocating,Personal,Approach
57710,20041028X01712,Accident,ATL05LA009,2004-10-23,"LEESVILLE, SC",United States,Substantial,,North American,Harvard II T-6,1.0,Reciprocating,Personal,Climb
57711,20041029X01725,Accident,ATL05FA008,2004-10-23,"FLAT ROCK, NC",United States,Substantial,,Beech,F33A,1.0,Reciprocating,Personal,Takeoff
57712,20041103X01750,Accident,LAX05LA014,2004-10-23,"Minden, NV",United States,Destroyed,,Ams Flight,Carat A,1.0,Reciprocating,Personal,Maneuvering
57714,20041105X01768,Accident,MIA05LA012,2004-10-24,"TAMPA, FL",United States,Substantial,,Rockwell,112A,1.0,Reciprocating,Personal,Takeoff
57716,20041104X01760,Accident,IAD05MA006,2004-10-24,"Stuart, VA",United States,Destroyed,,Beech,200,2.0,Turbo Prop,Executive/corporate,Go-around
57717,20041027X01708,Accident,CHI05LA015,2004-10-24,"Liberal, KS",United States,Destroyed,,Strissel,Pitts S1S,1.0,Reciprocating,Personal,Maneuvering
57718,20041028X01721,Accident,CHI05LA014,2004-10-24,"Taylorville, IL",United States,Destroyed,,Cessna,P206B,1.0,Reciprocating,Business,Cruise
57719,20041105X01769,Accident,MIA05LA013,2004-10-25,"SAN JUAN, PR",United States,Substantial,,Piper,PA-23-250,2.0,Reciprocating,Personal,Approach
57721,20041203X01910,Accident,LAX05CA016,2004-10-25,"LAS VEGAS, NV",United States,Substantial,Airplane,Bellanca,BL17-30,1.0,Reciprocating,Personal,Approach
57722,20041129X01878,Accident,DFW05CA011,2004-10-25,"ABILENE, TX",United States,Substantial,Airplane,Piper,PA-28,1.0,Reciprocating,Personal,Landing
57723,20041116X01827,Accident,DEN05CA015,2004-10-25,"DRAPER, UT",United States,Substantial,Airplane,Cessna,310I,2.0,Reciprocating,Personal,Cruise
57724,20041116X01830,Accident,LAX05TA018,2004-10-25,"Tucson, AZ",United States,Destroyed,,Hughes,OH-6A,1.0,Turbo Shaft,Public Aircraft,Maneuvering
57725,20041027X01709,Accident,DFW05LA010,2004-10-25,"Fort Worth, TX",United States,,,Saab-Scania Ab (Saab),SF-340B,2.0,Turbo Prop,,Taxi
57726,20041101X01731,Accident,ATL05FA011,2004-10-25,"Aiken, SC",United States,Destroyed,,Beech,BE-P35,1.0,Reciprocating,Personal,Approach
57727,20041108X01779,Accident,NYC05LA010,2004-10-26,"CUSTAR, OH",United States,Substantial,,Fairchild,24R-40,1.0,Reciprocating,Personal,Takeoff
57728,20041129X01871,Accident,NYC05LA009,2004-10-26,"DULLES, VA",United States,Substantial,,Beech,BE-200,2.0,Turbo Prop,Business,Go-around
57730,20041102X01740,Accident,CHI05LA018,2004-10-26,"SCHAUMBURG, IL",United States,Substantial,,Kramer,Glasair III,1.0,Reciprocating,Personal,Takeoff
57731,20041102X01742,Accident,CHI05FA017,2004-10-26,"SPRINGFIELD, MO",United States,Substantial,,Cessna,182J,1.0,Reciprocating,Personal,Maneuvering
57732,20041102X01733,Accident,ATL05LA012,2004-10-26,"SYLVESTER, GA",United States,Substantial,,Rogers,Lancair IVP,1.0,Turbo Prop,Personal,Approach
57734,20041102X01741,Accident,CHI05FA016,2004-10-26,"Wautoma, WI",United States,Destroyed,,Cessna,P210N,1.0,Reciprocating,Personal,Cruise
57735,20041109X01790,Accident,NYC05LA013,2004-10-27,"PHILADELPHIA, PA",United States,Substantial,,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,Taxi
57736,20041108X01781,Accident,IAD05LA008,2004-10-27,"FREEDOM, PA",United States,Substantial,,Cessna,180,1.0,Reciprocating,Other Work Use,Takeoff
57738,20041102X01736,Accident,ATL05FA013,2004-10-27,"ASHEVILLE, NC",United States,Substantial,,Beech,BE-60,2.0,Reciprocating,Business,Takeoff
57739,20041101X01730,Accident,MIA05LA016,2004-10-27,"Raymond, MS",United States,Destroyed,,Cessna,T210N,1.0,Reciprocating,,Cruise
57741,20041110X01798,Accident,MIA05LA019,2004-10-28,"JACKSONVILLE, FL",United States,Substantial,,Scottish Aviation,Bulldog 120/121,1.0,Reciprocating,Personal,Descent
57742,20041203X01912,Accident,LAX05CA024,2004-10-28,"PETALUMA, CA",United States,Substantial,Airplane,Champion,7GCAA,1.0,Reciprocating,Personal,Standing
57744,20041029X01726,Accident,CHI05LA019,2004-10-28,"BUFFALO GROVE, IL",United States,Substantial,,Piper,PA-24,1.0,Reciprocating,Personal,Takeoff
57745,20041130X01880,Accident,ATL05CA016,2004-10-28,"MOBILE, AL",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,Cruise
57746,20041102X01743,Accident,DFW05LA012,2004-10-28,"Fletcher, OK",United States,Destroyed,,Huber,DR 107,1.0,Reciprocating,Personal,Maneuvering
57747,20041103X01747,Accident,SEA05FA013,2004-10-29,"OLYMPIA, WA",United States,Substantial,,Cessna,172P,1.0,Reciprocating,Personal,Maneuvering
57748,20041201X01901,Accident,LAX05CA019,2004-10-29,"VACAVILLE, CA",United States,Substantial,Airplane,Piper,PA-22-160,1.0,Reciprocating,Personal,Landing
57749,20041116X01818,Accident,DEN05LA022,2004-10-29,"PUEBLO, CO",United States,Substantial,,Cirrus Design Corp.,SR22,1.0,Reciprocating,Personal,Landing
57750,20041216X01996,Accident,ANC05CA013,2004-10-29,"SKWENTNA, AK",United States,Substantial,Airplane,Cessna,185,1.0,Reciprocating,Personal,Landing
57751,20041110X01800,Accident,NYC05LA012,2004-10-29,"Pawtucket, RI",United States,Destroyed,,Mcdonnell Douglas Aircraft Co,Adventure Air AMPIB,1.0,Reciprocating,Personal,Approach
57752,20041103X01745,Accident,CHI05FA020,2004-10-29,"Downing, MO",United States,Destroyed,,Beech,A36,1.0,Reciprocating,Personal,Cruise
57754,20041208X01944,Accident,MIA05CA038,2004-10-30,"ZELLWOOD, FL",United States,Substantial,Airplane,Steven W. Jones,KR2,1.0,Reciprocating,Personal,Landing
57755,20041201X01893,Accident,LAX05LA021,2004-10-30,"NORTH LAS VEGAS, NV",United States,Substantial,,Cessna,210A,1.0,Reciprocating,Personal,Approach
57756,20041110X01796,Accident,ATL05LA018,2004-10-30,"SUMMERVILLE, SC",United States,Substantial,,Bellanca Citabria,7ECA,1.0,Reciprocating,Personal,Climb
57758,20041215X01989,Accident,ANC05CA012,2004-10-30,"SKWENTNA, AK",United States,Substantial,Airplane,Bellanca,8GCBC,1.0,Reciprocating,Personal,Landing
57760,20041129X01875,Accident,MIA05LA018,2004-10-31,"PENSACOLA, FL",United States,Substantial,,Cessna,340A-RAM VI,2.0,Reciprocating,Personal,Taxi
57764,20041202X01904,Accident,CHI05CA027,2004-10-31,"MORRIS, IL",United States,Substantial,Airplane,Cessna,T182T,1.0,Reciprocating,Personal,Landing
57765,20041103X01749,Accident,LAX05FA023,2004-10-31,"Lebec, CA",United States,Destroyed,,Cessna,182Q,1.0,Reciprocating,Personal,Cruise
57766,20041104X01755,Accident,DEN05LA017,2004-10-31,"Dotsero, CO",United States,Destroyed,,Miller,Vans RV4,1.0,Reciprocating,Personal,Cruise
